t,psi_truth,psi_recovered
0.0,8.137210727905412e-7,0.002735854840457963
12.0,8.503585200929224e-7,0.002759986359268121
24.0,8.885802737861118e-7,0.0027841304798062044
36.0,9.284518032935602e-7,0.0028082873028202546
48.0,9.700411465026164e-7,0.0028324569298655566
60.0,1.0134190045744482e-6,0.002856639463310634
72.0,1.0586588400044007e-6,0.002880835006346047
84.0,1.1058369780343382e-6,0.002905043662990728
96.0,1.1550327115210419e-6,0.0029292655381006893
108.0,1.2063284093678148e-6,0.0029535007373763314
120.0,1.2598096286291345e-6,0.002977749367368547
132.0,1.315565230401301e-6,0.003002011535488819
144.0,1.3736874996150198e-6,0.003026287350015512
156.0,1.4342722688488777e-6,0.0030505769201014735
168.0,1.4974190462860046e-6,0.0030748803557826207
180.0,1.5632311479391873e-6,0.0030991977679858604
192.0,1.6318158342732427e-6,0.003123529268536561
204.0,1.703284451356682e-6,0.0031478749701665254
216.0,1.777752576678106e-6,0.003172234986522783
228.0,1.8553401697664068e-6,0.0031966094321747227
240.0,1.9361717277572435e-6,0.0032209984226231544
252.0,2.0203764460520155e-6,0.0032454020743076795
264.0,2.1080883842192926e-6,0.0032698205046165912
276.0,2.1994466372922985e-6,0.003294253831892413
288.0,2.2945955126200707e-6,0.003318702175443271
300.0,2.3936847124336674e-6,0.003343165655549346
312.0,2.496869522293052e-6,0.003367644393472216
324.0,2.6043110055840256e-6,0.0033921385114628055
336.0,2.7161762042390048e-6,0.003416648132771455
348.0,2.832638345859592e-6,0.0034411733816543597
360.0,2.9538770574230492e-6,0.00346571438338409
372.0,3.0800785857594083e-6,0.003490271264257376
384.0,3.2114360249901892e-6,0.0035148441516045237
396.0,3.3481495511242644e-6,0.003539433173798401
408.0,3.4904266640112213e-6,0.003564038460261952
420.0,3.6384824368568642e-6,0.0035886601414793773
432.0,3.792539773510715e-6,0.003613298349002869
444.0,3.952829673739765e-6,0.0036379532154639516
456.0,4.119591506707923e-6,0.0036626248745808
468.0,4.293073292885669e-6,0.00368731346116883
480.0,4.473531994619026e-6,0.0037120191111484277
492.0,4.6612338155927535e-6,0.0037367419615556563
504.0,4.856454509427205e-6,0.0037614821505512
516.0,5.059479697654355e-6,0.0037862398174296277
528.0,5.270605197322936e-6,0.003811015102628032
540.0,5.490137358488961e-6,0.0038358081477377556
552.0,5.718393411852951e-6,0.0038606190955114555
564.0,5.955701826810677e-6,0.003885448089874531
576.0,6.2024026801904305e-6,0.003910295275934013
588.0,6.458848035954833e-6,0.003935160799988416
600.0,6.7254023361516655e-6,0.003960044809537114
612.0,7.002442803403861e-6,0.003984947453291733
624.0,7.290359855234286e-6,0.004009868881183445
636.0,7.58955753052801e-6,0.004034809244375048
648.0,7.900453928439601e-6,0.004059768695271304
660.0,8.223481660060073e-6,0.004084747387525879
672.0,8.559088313164054e-6,0.004109745476055061
684.0,8.907736930363554e-6,0.004134763117045567
696.0,9.269906501002193e-6,0.004159800467966247
708.0,9.646092467128518e-6,0.004184857687576961
720.0,1.00368072438951e-5,0.004209934935939685
732.0,1.0442580754735708e-5,0.0042350323744287585
744.0,1.0863960981679351e-5,0.004260150165741314
756.0,1.130151453116748e-5,0.004285288473907488
768.0,1.175582721574581e-5,0.004310447464301058
780.0,1.2227504652010813e-5,0.004335627303649864
792.0,1.2717172875196003e-5,0.004360828160046883
804.0,1.3225478970790745e-5,0.004386050202959964
816.0,1.375309172359132e-5,0.004411293603243889
828.0,1.4300702284590243e-5,0.004436558533149247
840.0,1.4869024856117284e-5,0.00446184516633457
852.0,1.545879739565214e-5,0.004487153677877449
864.0,1.6070782338735875e-5,0.00451248424428425
