t,G1,G2,G3,G4
1896.0,0.00010280760030625775,4.120259642199827e-7,1.2940561820242707e-24,2.212106651950767e-52
1908.0,0.0001063545853568496,4.3211548985010405e-7,2.677471730402033e-24,6.623044051922662e-52
1920.0,0.00011001591081273774,4.537955522983459e-7,5.4933759430079145e-24,1.9615085482043196e-51
1932.0,0.00011379436462770553,4.773728040809838e-7,1.1177366498407366e-23,5.747511627358656e-51
1944.0,0.00011769311311003401,5.031273343167575e-7,2.2556268832763636e-23,1.6664814753107174e-50
1956.0,0.00012171574935768773,5.312996330995103e-7,4.515057735524533e-23,4.78215724324552e-50
1968.0,0.00012586624301995188,5.620800710885249e-7,8.965348136128555e-23,1.3583748953191126e-49
1980.0,0.00013014881171674063,5.956016946642089e-7,1.7661078853325296e-22,3.819931802451538e-49
1992.0,0.0001345677544551764,6.319368934813457e-7,3.4518416065750263e-22,1.0636471654273377e-48
2004.0,0.00013912729554198838,6.710981958321559e-7,6.694287147273249e-22,2.932983430756e-48
2016.0,0.00014383148220038886,7.130431126690805e-7,1.2882879239003873e-21,8.010395532091719e-48
2028.0,0.00014868416248157624,7.576826127676759e-7,2.4604295710688386e-21,2.1671613428087542e-47
2040.0,0.00015368904720399143,8.048925006207673e-7,4.6637113696137335e-21,5.808720096542338e-47
2052.0,0.00015884983708180196,8.54526715508181e-7,8.774199421483287e-21,1.5426912080879455e-46
2064.0,0.00016417038001134742,9.064314009679754e-7,1.638588566909502e-20,4.060157114739896e-46
2076.0,0.00016965481767469668,9.60458527897117e-7,3.037732369957862e-20,1.0590743259812104e-45
2088.0,0.00017530768610953413,1.0164779018435456e-6,5.590826155553189e-20,2.7383117900401307e-45
2100.0,0.00018113394942699768,1.074386545154209e-6,1.0215937693576953e-19,7.018817574881933e-45
2112.0,0.00018713896481314517,1.1341147057690961e-6,1.8534646411841662e-19,1.7836928220922694e-44
2124.0,0.00019332839477839654,1.195628084258356e-6,3.3390386697157166e-19,4.494697021092776e-44
2136.0,0.00019970809447467772,1.2589262579383977e-6,5.973324819091577e-19,1.1231894465455638e-43
2148.0,0.00020628400497244473,1.3240376780990472e-6,1.0611922087981247e-18,2.7837142927407614e-43
2160.0,0.00021306207758757406,1.3910119833019391e-6,1.8723203627886165e-18,6.843228576126402e-43
2172.0,0.0002200482421510323,1.4599106693578261e-6,3.2809428753580247e-18,1.6688095362072495e-42
2184.0,0.00022724841768265636,1.5307973512427233e-6,5.710486017441146e-18,4.0374334749190466e-42
2196.0,0.0002346685517674678,1.6037289192501656e-6,9.872477690927177e-18,9.691687136184661e-42
2208.0,0.00024231466851790074,1.6787488186717452e-6,1.695430662485907e-17,2.308502359419572e-41
2220.0,0.0002501929058073787,1.7558834710370387e-6,2.8923850601566326e-17,5.456809131068252e-41
2232.0,0.00025830952961304355,1.8351425220792305e-6,4.902020741983883e-17,1.2801602961943692e-40
2244.0,0.0002666709240077211,1.91652317774621e-6,8.253862656477937e-17,2.9808892556001e-40
2256.0,0.00027528356583486553,2.0000184168705845e-6,1.380771601417498e-16,6.890029877154075e-40
2268.0,0.0002841539998927852,2.0856283972674405e-6,2.295026963540432e-16,1.5809829189708444e-39
2280.0,0.0002932888314046027,2.17337395335383e-6,3.790297292032084e-16,3.6016397874806e-39
2292.0,0.00030269474748434634,2.263310767122008e-6,6.220078692861681e-16,8.146589250973692e-39
2304.0,0.0003123785699967793,2.355542620932367e-6,1.0143143783246897e-15,1.8297361285660237e-38
2316.0,0.0003223473317307867,2.450232136760487e-6,1.6436894285370494e-15,4.0810518347881936e-38
2328.0,0.0003326083595404371,2.5476075812010804e-6,2.646995522653552e-15,9.039823307741725e-38
2340.0,0.0003431693446563831,2.64796465796652e-6,4.236313755738203e-15,1.988769409443913e-37
2352.0,0.0003540383827724739,2.7516626895415996e-6,6.7381258551960135e-15,4.34587639240018e-37
2364.0,0.0003652239739740331,2.8591151597175554e-6,1.0651732649047068e-14,9.43343548210104e-37
2376.0,0.00037673498277683245,2.970775189142366e-6,1.6735743647107425e-14,2.034194391327272e-36
2388.0,0.0003885805684175139,3.0871170809537525e-6,2.6135228794393358e-14,4.357876603684747e-36
2400.0,0.0004007701022249378,3.208615538551194e-6,4.0567335775944265e-14,9.275696998069809e-36
2412.0,0.0004133130906406047,3.3357244671622013e-6,6.259034610157493e-14,1.9617152766568135e-35
2424.0,0.0004262191190564712,3.4688573854802925e-6,9.599091854160763e-14,4.122600584494644e-35
2436.0,0.0004394978244744294,3.6083713747808574e-6,1.463374757330027e-13,8.609539445665624e-35
2448.0,0.00045315889650110935,3.75455618592639e-6,2.2176536862258276e-13,1.7868533615169443e-34
2460.0,0.00046721209906726085,3.907629638797781e-6,3.340828927211324e-13,3.685739766392236e-34
2472.0,0.00048166730159612955,4.067739834119493e-6,5.003180020989326e-13,7.556367890983732e-34
2484.0,0.0004965345090001609,4.234974019961281e-6,7.448655554471288e-13,1.5398541725520344e-33
2496.0,0.0005118238842629168,4.409373287851513e-6,1.1024463452433342e-12,3.119242080301218e-33
2508.0,0.0005275457636509503,4.5909516892053235e-6,1.6221545428973296e-12,6.281248669858715e-33
2520.0,0.0005437106703910501,4.7797179252496815e-6,2.3729523684004316e-12,1.2574602851726363e-32
2532.0,0.0005603293357358033,4.975697519843527e-6,3.4510728075199254e-12,2.50274995198227e-32
2544.0,0.0005774127354436104,5.178953359669024e-6,4.98991618143604e-12,4.952661033860214e-32
2556.0,0.0005949721448886446,5.3896026807958455e-6,7.173177327373925e-12,9.744966280425425e-32
2568.0,0.0006130192087156806,5.607828970980907e-6,1.0252119654573183e-11,1.906623218891144e-31
2580.0,0.0006315660135182329,5.833887798640968e-6,1.4568122143047215e-11,3.709488367231186e-31
2592.0,0.0006506251470101056,6.068106212153675e-6,2.058186582488797e-11,7.177102419504791e-31
2604.0,0.0006702097265534105,6.310876008623271e-6,2.891079575111094e-11,1.3809923446568112e-30
2616.0,0.0006903333844409593,6.562641780590628e-6,4.037678835401107e-11,2.6427800204590363e-30
2628.0,0.0007110102062274355,6.82388515043285e-6,5.606626409797255e-11,5.030123176133337e-30
2640.0,0.0007322546295176866,7.095106946722137e-6,7.740529812470605e-11,9.522784716495982e-30
2652.0,0.0007540813210089839,7.3768092337381005e-6,1.0625257800383244e-10,1.7932323953077234e-29
2664.0,0.0007765050563233221,7.66947906397987e-6,1.4501331137402892e-10,3.359043458466405e-29
2676.0,0.0007995406281905249,7.973575593591908e-6,1.9677736283757887e-10,6.259216003171931e-29
2688.0,0.000823202803266625,8.289521810301922e-6,2.6548495586478026e-10,1.1602939421242394e-28
2700.0,0.0008475063374056488,8.617701615997032e-6,3.561231596543236e-10,2.139823995584331e-28
2712.0,0.0008724660461002492,8.958462435032532e-6,4.749560324040237e-10,3.926158966347636e-28
2724.0,0.0008980969143974711,9.312122943427714e-6,6.297906437459511e-10,7.167291167427998e-28
2736.0,0.0009244142220872747,9.67898499144814e-6,8.302801782122241e-10,1.3018375564091708e-27
2748.0,0.0009514336575540108,1.0059348375129466e-5,1.0882638561283532e-9,2.352827381759899e-27
2760.0,0.0009791713979508561,1.0453526842952351e-5,1.4181414311521306e-9,4.2312774674322096e-27
2772.0,0.001007644143080708,1.0861863629535414e-5,1.837277480380434e-9,7.572119829185427e-27
2784.0,0.0010368691028467731,1.1284744898938434e-5,2.3664275610782952e-9,1.3484786286118573e-26
2796.0,0.0010668639499433995,1.1722609747180761e-5,3.030174567975063e-9,2.3898304190300567e-26
2808.0,0.0010976467573885172,1.217595582934824e-5,3.857359331879405e-9,4.2150435918440636e-26
2820.0,0.0011292359424750866,1.2645340196790433e-5,4.881484756647537e-9,7.398851386764524e-26
2832.0,0.0011616502343765466,1.3131375496909201e-5,6.141067769385768e-9,1.2926138585363168e-25
2844.0,0.0011949086734352361,1.3634722236877772e-5,7.679908310175512e-9,2.2476586246600604e-25
2856.0,0.0012290306389482802,1.4156078277712667e-5,9.5472398515023e-9,3.8901241029126637e-25
2868.0,0.001264035892470925,1.4696167048076956e-5,1.1797721941610111e-8,6.701660205916279e-25
2880.0,0.0012999446182820433,1.5255726104568724e-5,1.4491232521166212e-8,1.1492148689528772e-24
2892.0,0.0013367774433816933,1.5835497595066212e-5,1.7692416848573837e-8,1.961705288952013e-24
2904.0,0.0013745554260653726,1.6436221907799953e-5,2.1469951408751433e-8,3.333447077078051e-24
2916.0,0.0014133000127790271,1.7058635342067397e-5,2.5895485801165657e-8,5.638894864505311e-24
2928.0,0.0014530329743776655,1.7703472072311597e-5,3.104223388795349e-8,9.496163811840927e-24
2940.0,0.0014937763415392691,1.837147006941627e-5,3.698319790666648e-8,1.592095392604671e-23
2952.0,0.0015355523621013592,1.9063380074277783e-5,4.37890261084108e-8,2.657476106652616e-23
2964.0,0.0015783834992503145,1.97799762693754e-5,5.152552580526237e-8,4.416330286064405e-23
2976.0,0.0016222924795560754,2.0522067030404554e-5,6.025087919601848e-8,7.30731638801549e-23
2988.0,0.0016673023863863605,2.129050410381077e-5,7.001263826993042e-8,1.2038449607691248e-22
3000.0,0.0017134367809590425,2.208618875736983e-5,8.084460627852542e-8,1.974746640578e-22
3012.0,0.0017607198239882817,2.2910073865635084e-5,9.276374503063505e-8,3.225463159662537e-22
3024.0,0.0018091763683442043,2.3763161464250766e-5,1.057672774258284e-7,5.245950341389336e-22
3036.0,0.001858831998368006,2.464649595686262e-5,1.198301805753348e-7,8.496087432211207e-22
3048.0,0.0019097130033452032,2.5561153793231207e-5,1.349032836114318e-7,1.3702115233813887e-21
3060.0,0.0019618462881958827,2.65082309661444e-5,1.5091219273296744e-7,2.2005997380108063e-21
3072.0,0.0020152592397185377,2.74888300220601e-5,1.677572611128347e-7,3.5195737646290595e-21
3084.0,0.0020699795777952275,2.850404839714277e-5,1.853148002808527e-7,5.605898861468402e-21
3096.0,0.002126035225001223,2.9554969761704352e-5,2.0343969043471813e-7,8.892360081078065e-21
3108.0,0.0021834542240717204,3.064265970323527e-5,2.2196948877161252e-7,1.4048037929146098e-20
3120.0,0.002242264721739561,3.1768166554461864e-5,2.407300576645942e-7,2.2103000537327446e-20
3132.0,0.002302495022387133,3.293252755442231e-5,2.595426402549858e-7,3.46364718207672e-20
3144.0,0.002364173699524641,3.4136779904109176e-5,2.782322035595001e-7,5.4059579406072104e-20
3156.0,0.0024273297410374465,3.538197572717812e-5,2.966367541881513e-7,8.403841865148031e-20
3168.0,0.0024919926981580485,3.666919953806911e-5,3.1461721677019833e-7,1.3012438975853054e-19
3180.0,0.0025581928092891356,3.799958659694803e-5,3.320673592956908e-7,2.0068940166507835e-19
3192.0,0.002625961077381622,3.937434050580689e-5,3.489231629902884e-7,3.083075685261597e-19
3204.0,0.0026953292912799964,4.079474855668772e-5,3.6517097762927383e-7,4.717880251018301e-19
3216.0,0.0027663299941659935,4.226219364200948e-5,3.808537864420973e-7,7.191532233573737e-19
