t,psi
1944.0,0.0003916588935659322
1956.0,0.00040445111208886977
1968.0,0.00041763046429063247
1980.0,0.00043120759738456686
1992.0,0.00044519341604100544
2004.0,0.0004595990875010224
2016.0,0.0004744360467582546
2028.0,0.0004897160018086452
2040.0,0.0005054509389679895
2052.0,0.0005216531282570671
2064.0,0.0005383351288541294
2076.0,0.0005555097946144845
2088.0,0.000573190279656822
2100.0,0.0005913900440159564
2112.0,0.0006101228593615251
2124.0,0.0006294028147822367
2136.0,0.0006492443226351085
2148.0,0.0006696621244591643
2160.0,0.0006906712969529844
2172.0,0.0007122872580154143
2184.0,0.0007345257728487563
2196.0,0.0007574029601236359
2208.0,0.0007809352982047291
2220.0,0.0008051396314364775
2232.0,0.000830033176487811
2244.0,0.0008556335287549164
2256.0,0.000881958668820945
2268.0,0.0009090269689715443
2280.0,0.0009368571997650457
2292.0,0.0009654685366559898
2304.0,0.0009948805666707343
2316.0,0.0010251132951336886
2328.0,0.0010561871524427439
2340.0,0.0010881230008923826
2352.0,0.0011209421415428061
2364.0,0.0011546663211334741
2376.0,0.0011893177390392322
2388.0,0.0012249190542672804
2400.0,0.0012614933924930012
2412.0,0.0012990643531327146
2424.0,0.0013376560164513112
2436.0,0.001377292950702568
2448.0,0.0014180002192999987
2460.0,0.001459803388015883
2472.0,0.0015027285322061071
2484.0,0.0015468022440583765
2496.0,0.0015920516398611833
2508.0,0.0016385043672909724
2520.0,0.0016861886127147027
2532.0,0.0017351331085050188
2544.0,0.0017853671403651784
2556.0,0.0018369205546606363
2568.0,0.0018898237657543218
2580.0,0.001944107763342333
2592.0,0.001999804119786856
2604.0,0.0020569449974429123
2616.0,0.0021155631559754686
2628.0,0.002175691959663436
2640.0,0.0022373653846867883
2652.0,0.002300618026393238
2664.0,0.002365485106540452
2676.0,0.0024320024805100067
2688.0,0.00250020664448905
2700.0,0.00257013474261544
2712.0,0.002641824574082316
2724.0,0.0027153146001976246
2736.0,0.002790643951394261
2748.0,0.0028678524341863697
2760.0,0.0029469805380670415
2772.0,0.0030280694423429066
2784.0,0.0031111610229005954
2796.0,0.0031962978589004025
2808.0,0.003283523239391953
2820.0,0.0033728811698468795
2832.0,0.003464416378603354
2844.0,0.0035581743232170524
2856.0,0.0036542011967133584
2868.0,0.0037525439337351544
2880.0,0.003853250216580698
2892.0,0.003956368481126027
2904.0,0.004061947922625903
2916.0,0.004170038501387709
2928.0,0.004280690948312149
2940.0,0.004393956770294844
