t,psi_truth,psi_recovered
1224.0,4.977841090856712e-5,-0.017486100192336658
1236.0,5.163133033349955e-5,-0.017577272489859557
1248.0,5.3549287658180965e-5,-0.017663701901862283
1260.0,5.55344118390059e-5,-0.01774539414160415
1272.0,5.758889575952461e-5,-0.017822357707756236
1284.0,5.971499794401862e-5,-0.01789460289692391
1296.0,6.191504430997812e-5,-0.01796214068932988
1308.0,6.419142996013832e-5,-0.01802498158832398
1320.0,6.65466210147268e-5,-0.018083134504805354
1332.0,6.89831564845826e-5,-0.0181366057792578
1344.0,7.150365018581167e-5,-0.018185398427353016
1356.0,7.411079269663695e-5,-0.018229511681136238
1368.0,7.680735335711771e-5,-0.018268940878248312
1380.0,7.95961823124003e-5,-0.018303677728219198
1392.0,8.248021260017391e-5,-0.018333710959320175
1404.0,8.546246228300403e-5,-0.018359027323438092
1416.0,8.854603662621239e-5,-0.01837961291144982
1428.0,9.173413032198133e-5,-0.018395454709065947
1440.0,9.503002976035099e-5,-0.01840654230445307
1452.0,9.8437115347788e-5,-0.01841286964541987
1464.0,0.00010195886387399187,-0.018414436736707566
1476.0,0.00010559885092761513,-0.018411251167816133
1488.0,0.00010936075336156748,-0.01840332936924243
1500.0,0.00011324835180856566,-0.018390697509838013
1512.0,0.00011726553324760429,-0.018373391969380197
1524.0,0.00012141629362200139,-0.018351459346921725
1536.0,0.00012570474050968108,-0.018324955995010064
1548.0,0.00013013509584635323,-0.01829394710016296
1560.0,0.0001347116987022312,-0.018258505358707416
1572.0,0.0001394390081129436,-0.018218709322166564
1584.0,0.00014432160596527293,-0.01817464150625417
1596.0,0.00014936419993835795,-0.01812638637124719
1608.0,0.0001545716265009909,-0.018074028288732554
1620.0,0.00015994885396561847,-0.01801764961065044
1632.0,0.00016550098559967507,-0.017957328951678772
1644.0,0.00017123326279483374,-0.01789313978592412
1656.0,0.0001771510682947854,-0.017825149444130082
1668.0,0.0001832599294821171,-0.017753418578561952
1680.0,0.00018956552172487055,-0.017678001139647088
1692.0,0.0001960736717833431,-0.017598944881660573
1704.0,0.0002027903612776743,-0.017516292384833248
1716.0,0.0002097217302167659,-0.017430082549305552
1728.0,0.00021687408058904806,-0.01734035248408835
1740.0,0.0002242538800156065,-0.017247139683980527
1752.0,0.0002318677654661679,-0.017150484362095715
1764.0,0.00023972254703841003,-0.017050431788233286
1776.0,0.00024782521180107393,-0.01694703447642971
1788.0,0.0002561829277013062,-0.016840354070439358
1800.0,0.0002648030475366631,-0.016730462794136643
1812.0,0.00027369311299218785,-0.016617444363879602
1824.0,0.00028286085874293084,-0.016501394299166236
1836.0,0.00029231421662229536,-0.016382419612591913
1848.0,0.0003020613198565357,-0.016260637905539305
1860.0,0.0003121105073657283,-0.016136175937450634
1872.0,0.00032247032813152536,-0.016009167769792255
1884.0,0.00033314954563193425,-0.015879752607974106
1896.0,0.0003441571423433943,-0.015748072474227538
1908.0,0.00035550232431034035,-0.01561426984218802
1920.0,0.0003671945257824667,-0.015478485351667957
1932.0,0.00037924341391983154,-0.015340855702902542
1944.0,0.0003916588935659322,-0.01520151180695049
1956.0,0.00040445111208886977,-0.015060577246242728
1968.0,0.00041763046429063247,-0.01491816707902693
1980.0,0.00043120759738456686,-0.014774387005005406
1992.0,0.00044519341604100544,-0.01462933289692245
2004.0,0.0004595990875010224,-0.014483090693257468
2016.0,0.0004744360467582546,-0.01433573663892576
2028.0,0.0004897160018086452,-0.014187337852271779
2040.0,0.0005054509389679895,-0.014037953186403003
2052.0,0.0005216531282570671,-0.013887634340635
2064.0,0.0005383351288541294,-0.013736427164121377
2076.0,0.0005555097946144845,-0.013584373080193448
2088.0,0.000573190279656822,-0.013431510548744781
2100.0,0.0005913900440159564,-0.01327787647750437
2112.0,0.0006101228593615251,-0.013123507493204926
2124.0,0.0006294028147822367,-0.012968440991524744
2136.0,0.0006492443226351085,-0.012812715900164048
2148.0,0.0006696621244591643,-0.012656373111159023
2160.0,0.0006906712969529844,-0.012499455564172235
2172.0,0.0007122872580154143,-0.012342007989033333
2184.0,0.0007345257728487563,-0.012184076340174136
2196.0,0.0007574029601236359,-0.012025706975184066
2208.0,0.0007809352982047291,-0.011866945642780279
2220.0,0.0008051396314364775,-0.011707836351420321
2232.0,0.000830033176487811,-0.011548420189088146
2244.0,0.0008556335287549164,-0.011388734158837639
2256.0,0.000881958668820945,-0.011228810085366855
2268.0,0.0009090269689715443,-0.011068673637150847
2280.0,0.0009368571997650457,-0.010908343498056383
2292.0,0.0009654685366559898,-0.010747830712827283
2304.0,0.0009948805666707343,-0.010587138222586565
2316.0,0.0010251132951336886,-0.010426260599152264
2328.0,0.0010561871524427439,-0.010265183979779975
2340.0,0.0010881230008923826,-0.010103886196205844
2352.0,0.0011209421415428061,-0.009942337083188006
2364.0,0.0011546663211334741,-0.009780498942312867
2376.0,0.0011893177390392322,-0.009618327127452793
2388.0,0.0012249190542672804,-0.009455770710214527
2400.0,0.0012614933924930012,-0.009292773178490624
2412.0,0.0012990643531327146,-0.009129273120113
2424.0,0.0013376560164513112,-0.008965204847366237
2436.0,0.001377292950702568,-0.00880049892667303
2448.0,0.0014180002192999987,-0.008635082590150549
2460.0,0.001459803388015883,-0.008468880020199084
2472.0,0.0015027285322061071,-0.008301812512602466
2484.0,0.0015468022440583765,-0.008133798535548917
2496.0,0.0015920516398611833,-0.007964753709719627
2508.0,0.0016385043672909724,-0.007794590737181236
2520.0,0.0016861886127147027,-0.00762321930435882
2532.0,0.0017351331085050188,-0.007450545978006725
2544.0,0.0017853671403651784,-0.007276474104792345
2556.0,0.0018369205546606363,-0.007100903717185487
2568.0,0.0018898237657543218,-0.006923731442960309
2580.0,0.001944107763342333,-0.006744850414261864
2592.0,0.001999804119786856,-0.006564150175306146
2604.0,0.0020569449974429123,-0.0063815165946414
2616.0,0.0021155631559754686,-0.006196831796705645
2628.0,0.002175691959663436,-0.00600997413570547
2640.0,0.0022373653846867883,-0.0058208182400153186
2652.0,0.002300618026393238,-0.005629235155241718
2664.0,0.002365485106540452,-0.005435092607706599
2676.0,0.0024320024805100067,-0.005238255397613961
2688.0,0.00250020664448905,-0.005038585914205419
2700.0,0.00257013474261544,-0.004835944746553498
2712.0,0.002641824574082316,-0.004630191346684105
2724.0,0.0027153146001976246,-0.004421184689817075
2736.0,0.002790643951394261,-0.00420878387227641
2748.0,0.0028678524341863697,-0.003992848592348302
