x,eta_pinn,eta_exact
0.0,0.012929110651506709,1.3007645434554606e-25
0.005012531328320802,0.013078901854152832,2.758568055994567e-25
0.010025062656641603,0.013247606815246886,5.820849152515153e-25
0.015037593984962405,0.013435124230901827,1.2220996393174017e-24
0.020050125313283207,0.013641350845426108,2.55296297598135e-24
0.02506265664160401,0.013866182729664753,5.306400760747438e-24
0.03007518796992481,0.014109516358360559,1.0974208469503425e-23
0.03508771929824561,0.014371249489486268,2.2582082759706512e-23
0.040100250626566414,0.014651281851144112,4.623516510479382e-23
0.045112781954887216,0.014949515643968929,9.418862573336313e-23
0.05012531328320802,0.015265855868950745,1.9091591674355829e-22
0.05513784461152882,0.01560021049226304,3.850378676043416e-22
0.06015037593984962,0.015952490459996194,7.726492353408145e-22
0.06516290726817042,0.016322609576712117,1.5426909938923152e-21
0.07017543859649122,0.016710484262441976,3.0647364849989596e-21
0.07518796992481203,0.017116033203196147,6.057939926277057e-21
0.08020050125313283,0.017539176910189008,1.1914461424138657e-20
0.08521303258145363,0.017979837202958135,2.331532630990164e-20
0.09022556390977443,0.018437936631240073,4.5396901310468625e-20
0.09523809523809523,0.018913397850023272,8.794852317122068e-20
0.10025062656641603,0.019406142961559632,1.6953076503896845e-19
0.10526315789473684,0.019916092837342816,3.251517695605811e-19
0.11027568922305764,0.02044316643219519,6.204993791697528e-19
0.11528822055137844,0.02098728010161955,1.1781869556102726e-18
0.12030075187969924,0.02154834693253983,2.2258951247682988e-18
0.12531328320802004,0.02212627609646495,4.184203667646907e-18
0.13032581453634084,0.02272097223299518,7.825976919542038e-18
0.13533834586466165,0.023332334870461605,1.456404254838778e-17
0.14035087719298245,0.023960257889376158,2.696764016823321e-17
0.14536340852130325,0.024604629033254617,4.968457506193007e-17
0.15037593984962405,0.02526532947033556,9.107891413449536e-17
0.15538847117794485,0.025942233408662932,1.6612375455464218e-16
0.16040100250626566,0.026635207766054703,3.0148330058473335e-16
0.16541353383458646,0.027344111895573658,5.443928514764462e-16
0.17042606516290726,0.02806879736627335,9.780908490774916e-16
0.17543859649122806,0.028809107798227887,1.7484918286330058e-15
0.18045112781954886,0.029564878750181434,3.1100376579548213e-15
0.18546365914786966,0.03033593765754783,5.5040873531545565e-15
0.19047619047619047,0.031122103817970596,9.6922055782819e-15
0.19548872180451127,0.03192318842120288,1.698155852002562e-14
0.20050125313283207,0.032738994619745866,2.9603980145982924e-14
0.20551378446115287,0.033569317636384356,5.134998154598157e-14
0.21052631578947367,0.03441394490456398,8.862333904100309e-14
0.21553884711779447,0.03527265623746013,1.5218559799700996e-13
